main_quest-10000001,完成行动：普通1-1
main_quest-20000001,首次通过普通1-1，获得该关卡铜星勋章。
main_quest-10000002,完成行动：普通1-2
main_quest-20000002,首次通过普通1-2，获得该关卡铜星勋章。
main_quest-10000003,完成行动：普通1-3
main_quest-20000003,首次通过普通1-3，获得该关卡铜星勋章。
main_quest-10000004,完成行动：普通1-4
main_quest-20000004,首次通过普通1-4，获得该关卡铜星勋章。
main_quest-10000005,完成行动：普通1-5
main_quest-20000005,首次通过普通1-5，获得该关卡铜星勋章。
main_quest-10000006,完成行动：普通1-6
main_quest-20000006,首次通过普通1-6，获得该关卡铜星勋章。
main_quest-10000007,完成行动：普通2-1
main_quest-20000007,首次通过普通2-1，获得该关卡铜星勋章。
main_quest-10000008,完成行动：普通2-2
main_quest-20000008,首次通过普通2-2，获得该关卡铜星勋章。
main_quest-10000009,完成行动：普通2-3
main_quest-20000009,首次通过普通2-3，获得该关卡铜星勋章。
main_quest-10000010,完成行动：普通2-4
main_quest-20000010,首次通过普通2-4，获得该关卡铜星勋章。
main_quest-10000011,完成行动：普通2-5
main_quest-20000011,首次通过普通2-5，获得该关卡铜星勋章。
main_quest-10000012,完成行动：普通2-6
main_quest-20000012,首次通过普通2-6，获得该关卡铜星勋章。
main_quest-10000013,完成行动：普通3-1
main_quest-20000013,首次通过普通3-1，获得该关卡铜星勋章。
main_quest-10000014,完成行动：普通3-2
main_quest-20000014,首次通过普通3-2，获得该关卡铜星勋章。
main_quest-10000015,完成行动：普通3-3
main_quest-20000015,首次通过普通3-3，获得该关卡铜星勋章。
main_quest-10000016,完成行动：普通3-4
main_quest-20000016,首次通过普通3-4，获得该关卡铜星勋章。
main_quest-10000017,完成行动：普通3-5
main_quest-20000017,首次通过普通3-5，获得该关卡铜星勋章。
main_quest-10000018,完成行动：普通3-6
main_quest-20000018,首次通过普通3-6，获得该关卡铜星勋章。
main_quest-10000019,完成行动：普通4-1
main_quest-20000019,首次通过普通4-1，获得该关卡铜星勋章。
main_quest-10000020,完成行动：普通4-2
main_quest-20000020,首次通过普通4-2，获得该关卡铜星勋章。
main_quest-10000021,完成行动：普通4-3
main_quest-20000021,首次通过普通4-3，获得该关卡铜星勋章。
main_quest-10000022,完成行动：普通4-4
main_quest-20000022,首次通过普通4-4，获得该关卡铜星勋章。
main_quest-10000023,完成行动：普通4-5
main_quest-20000023,首次通过普通4-5，获得该关卡铜星勋章。
main_quest-10000024,完成行动：普通4-6
main_quest-20000024,首次通过普通4-6，获得该关卡铜星勋章。
main_quest-10000025,完成行动：紧急1-1
main_quest-20000025,首次通过紧急1-1，获得该关卡铜星勋章。
main_quest-10000026,完成行动：紧急1-2
main_quest-20000026,首次通过紧急1-2，获得该关卡铜星勋章。
main_quest-10000027,完成行动：紧急1-3
main_quest-20000027,首次通过紧急1-3，获得该关卡铜星勋章。
main_quest-10000028,完成行动：紧急1-4
main_quest-20000028,首次通过紧急1-4，获得该关卡铜星勋章。
main_quest-10000029,完成行动：紧急2-1
main_quest-20000029,首次通过紧急2-1，获得该关卡铜星勋章。
main_quest-10000030,完成行动：紧急2-2
main_quest-20000030,首次通过紧急2-2，获得该关卡铜星勋章。
main_quest-10000031,完成行动：紧急2-3
main_quest-20000031,首次通过紧急2-3，获得该关卡铜星勋章。
main_quest-10000032,完成行动：紧急2-4
main_quest-20000032,首次通过紧急2-4，获得该关卡铜星勋章。
main_quest-10000033,完成行动：紧急3-1
main_quest-20000033,首次通过紧急3-1，获得该关卡铜星勋章。
main_quest-10000034,完成行动：紧急3-2
main_quest-20000034,首次通过紧急3-2，获得该关卡铜星勋章。
main_quest-10000035,完成行动：紧急3-3
main_quest-20000035,首次通过紧急3-3，获得该关卡铜星勋章。
main_quest-10000036,完成行动：紧急3-4
main_quest-20000036,首次通过紧急3-4，获得该关卡铜星勋章。
main_quest-10000037,完成行动：紧急4-1
main_quest-20000037,首次通过紧急4-1，获得该关卡铜星勋章。
main_quest-10000038,完成行动：紧急4-2
main_quest-20000038,首次通过紧急4-2，获得该关卡铜星勋章。
main_quest-10000039,完成行动：紧急4-3
main_quest-20000039,首次通过紧急4-3，获得该关卡铜星勋章。
main_quest-10000040,完成行动：紧急4-4
main_quest-20000040,首次通过紧急4-4，获得该关卡铜星勋章。
main_quest-10000041,隐秘任务：0-1
main_quest-20000041,首次通过0-1，获得该关卡铜星勋章。
main_quest-10000042,隐秘任务：0-2
main_quest-20000042,首次通过0-2，获得该关卡铜星勋章。
main_quest-10000043,隐秘任务：0-3
main_quest-20000043,首次通过0-3，获得该关卡铜星勋章。
main_quest-10000044,隐秘任务：0-4
main_quest-20000044,首次通过0-4，获得该关卡铜星勋章。
main_quest-10000045,全境封锁：普通1-1
main_quest-20000045,普通1-1首次全占领，获得该关卡银星勋章。
main_quest-10000046,全境封锁：普通1-2
main_quest-20000046,普通1-2首次全占领，获得该关卡银星勋章。
main_quest-10000047,全境封锁：普通1-3
main_quest-20000047,普通1-3首次全占领，获得该关卡银星勋章。
main_quest-10000048,全境封锁：普通1-4
main_quest-20000048,普通1-4首次全占领，获得该关卡银星勋章。
main_quest-10000049,全境封锁：普通1-5
main_quest-20000049,普通1-5首次全占领，获得该关卡银星勋章。
main_quest-10000050,全境封锁：普通1-6
main_quest-20000050,普通1-6首次全占领，获得该关卡银星勋章。
main_quest-10000051,全境封锁：普通2-1
main_quest-20000051,普通2-1首次全占领，获得该关卡银星勋章。
main_quest-10000052,全境封锁：普通2-2
main_quest-20000052,普通2-2首次全占领，获得该关卡银星勋章。
main_quest-10000053,全境封锁：普通2-3
main_quest-20000053,普通2-3首次全占领，获得该关卡银星勋章。
main_quest-10000054,全境封锁：普通2-4
main_quest-20000054,普通2-4首次全占领，获得该关卡银星勋章。
main_quest-10000055,全境封锁：普通2-5
main_quest-20000055,普通2-5首次全占领，获得该关卡银星勋章。
main_quest-10000056,全境封锁：普通2-6
main_quest-20000056,普通2-6首次全占领，获得该关卡银星勋章。
main_quest-10000057,全境封锁：普通3-1
main_quest-20000057,普通3-1首次全占领，获得该关卡银星勋章。
main_quest-10000058,全境封锁：普通3-2
main_quest-20000058,普通3-2首次全占领，获得该关卡银星勋章。
main_quest-10000059,全境封锁：普通3-3
main_quest-20000059,普通3-3首次全占领，获得该关卡银星勋章。
main_quest-10000060,全境封锁：普通3-4
main_quest-20000060,普通3-4首次全占领，获得该关卡银星勋章。
main_quest-10000061,全境封锁：普通3-5
main_quest-20000061,普通3-5首次全占领，获得该关卡银星勋章。
main_quest-10000062,全境封锁：普通3-6
main_quest-20000062,普通3-6首次全占领，获得该关卡银星勋章。
main_quest-10000063,全境封锁：普通4-1
main_quest-20000063,普通4-1首次全占领，获得该关卡银星勋章。
main_quest-10000064,全境封锁：普通4-2
main_quest-20000064,普通4-2首次全占领，获得该关卡银星勋章。
main_quest-10000065,全境封锁：普通4-3
main_quest-20000065,普通4-3首次全占领，获得该关卡银星勋章。
main_quest-10000066,全境封锁：普通4-4
main_quest-20000066,普通4-4首次全占领，获得该关卡银星勋章。
main_quest-10000067,全境封锁：普通4-5
main_quest-20000067,普通4-5首次全占领，获得该关卡银星勋章。
main_quest-10000068,全境封锁：普通4-6
main_quest-20000068,普通4-6首次全占领，获得该关卡银星勋章。
main_quest-10000069,全境封锁：紧急1-1
main_quest-20000069,紧急1-1首次全占领，获得该关卡银星勋章。
main_quest-10000070,全境封锁：紧急1-2
main_quest-20000070,紧急1-2首次全占领，获得该关卡银星勋章。
main_quest-10000071,全境封锁：紧急1-3
main_quest-20000071,紧急1-3首次全占领，获得该关卡银星勋章。
main_quest-10000072,全境封锁：紧急1-4
main_quest-20000072,紧急1-4首次全占领，获得该关卡银星勋章。
main_quest-10000073,全境封锁：紧急2-1
main_quest-20000073,紧急2-1首次全占领，获得该关卡银星勋章。
main_quest-10000074,全境封锁：紧急2-2
main_quest-20000074,紧急2-2首次全占领，获得该关卡银星勋章。
main_quest-10000075,全境封锁：紧急2-3
main_quest-20000075,紧急2-3首次全占领，获得该关卡银星勋章。
main_quest-10000076,全境封锁：紧急2-4
main_quest-20000076,紧急2-4首次全占领，获得该关卡银星勋章。
main_quest-10000077,全境封锁：紧急3-1
main_quest-20000077,紧急3-1首次全占领，获得该关卡银星勋章。
main_quest-10000078,全境封锁：紧急3-2
main_quest-20000078,紧急3-2首次全占领，获得该关卡银星勋章。
main_quest-10000079,全境封锁：紧急3-3
main_quest-20000079,紧急3-3首次全占领，获得该关卡银星勋章。
main_quest-10000080,全境封锁：紧急3-4
main_quest-20000080,紧急3-4首次全占领，获得该关卡银星勋章。
main_quest-10000081,全境封锁：紧急4-1
main_quest-20000081,紧急4-1首次全占领，获得该关卡银星勋章。
main_quest-10000082,全境封锁：紧急4-2
main_quest-20000082,紧急4-2首次全占领，获得该关卡银星勋章。
main_quest-10000083,全境封锁：紧急4-3
