mission-10000001,热身运动
mission-20000001,
mission-30000001,无妖精需求
mission-40000001,
mission-10000002,黑色情报
mission-20000002,
mission-30000002,无妖精需求
mission-40000002,
mission-10000003,守护据点
mission-20000003,
mission-30000003,无妖精需求
mission-40000003,
mission-10000004,最终挑战
mission-20000004,
mission-30000004,无妖精需求
mission-40000004,对于低伤害且高攻击频率类型的敌人，使用霰弹枪作为前排单位能获得更好的抵御效果。
mission-10000005,演习训练
mission-20000005,
mission-30000005,无妖精需求
mission-40000005,
mission-10000006,转移伤患
mission-20000006,
mission-30000006,无妖精需求
mission-40000006,
mission-10000007,调查异常
mission-20000007,
mission-30000007,无妖精需求
mission-40000007,
mission-10000008,失踪人口
mission-20000008,
mission-30000008,无妖精需求
mission-40000008,
mission-10000009,救援信号
mission-20000009,
mission-30000009,无妖精需求
mission-40000009,
mission-10000010,除草行动
mission-20000010,
mission-30000010,无妖精需求
mission-40000010,
mission-10000011,进阶训练Ⅰ
mission-20000011,
mission-30000011,无妖精需求
mission-40000011,
mission-10000012,进阶训练Ⅱ
mission-20000012,
mission-30000012,无妖精需求
mission-40000012,
mission-10000013,进阶训练Ⅲ
mission-20000013,
mission-30000013,无妖精需求
mission-40000013,
mission-10000014,进阶训练Ⅳ
mission-20000014,
mission-30000014,无妖精需求
mission-40000014,
mission-10000015,追踪日志
mission-20000015,
mission-30000015,无妖精需求
mission-40000015,
mission-10000016,紧急支援
mission-20000016,
mission-30000016,无妖精需求
mission-40000016,
mission-10000017,调查敌情
mission-20000017,
mission-30000017,无妖精需求
mission-40000017,
mission-10000018,采集数据
mission-20000018,
mission-30000018,无妖精需求
mission-40000018,
mission-10000019,额外委托
mission-20000019,
mission-30000019,无妖精需求
mission-40000019,
mission-10000020,终止作战
mission-20000020,
mission-30000020,无妖精需求
mission-40000020,对于站在敌方指挥部上不会移动的敌人，可以通过合围敌方指挥部来达成任务目标。
mission-10000021,战地样本Ⅰ
mission-20000021,
mission-30000021,无妖精需求
mission-40000021,
mission-10000022,战地样本Ⅱ
mission-20000022,
mission-30000022,无妖精需求
mission-40000022,
mission-10000023,战地样本Ⅲ
mission-20000023,
mission-30000023,无妖精需求
mission-40000023,
mission-10000024,战地样本Ⅳ
mission-20000024,
mission-30000024,无妖精需求
mission-40000024,
mission-10000025,打通入口
mission-20000025,
mission-30000025,无妖精需求
mission-40000025,
mission-10000026,截获情报
mission-20000026,
mission-30000026,无妖精需求
mission-40000026,
mission-10000027,秘密支援
mission-20000027,
mission-30000027,无妖精需求
mission-40000027,
mission-10000028,防御作战
mission-20000028,
mission-30000028,无妖精需求
mission-40000028,
mission-10000029,快速反击
mission-20000029,
mission-30000029,无妖精需求
mission-40000029,
mission-10000030,禁止狩猎
mission-20000030,
mission-30000030,无妖精需求
mission-40000030,
mission-10000031,回收数据Ⅰ
mission-20000031,
mission-30000031,无妖精需求
mission-40000031,
mission-10000032,回收数据Ⅱ
mission-20000032,
mission-30000032,无妖精需求
mission-40000032,
mission-10000033,回收数据Ⅲ
mission-20000033,
mission-30000033,无妖精需求
mission-40000033,
mission-10000034,回收数据Ⅳ
mission-20000034,
mission-30000034,无妖精需求
mission-40000034,
mission-10000035,协助佣兵
mission-20000035,
mission-30000035,无妖精需求
mission-40000035,
mission-10000036,切断增援
mission-20000036,
mission-30000036,无妖精需求
mission-40000036,
mission-10000037,突破阵线
mission-20000037,
mission-30000037,无妖精需求
mission-40000037,
mission-10000038,搜索同伴
mission-20000038,
mission-30000038,无妖精需求
mission-40000038,
mission-10000039,定位坐标
mission-20000039,
mission-30000039,无妖精需求
mission-40000039,
mission-10000040,平息干扰
mission-20000040,
mission-30000040,无妖精需求
mission-40000040,
mission-10000041,记忆回溯Ⅰ
mission-20000041,
mission-30000041,无妖精需求
mission-40000041,
mission-10000042,记忆回溯Ⅱ
mission-20000042,
mission-30000042,无妖精需求
mission-40000042,
mission-10000043,记忆回溯Ⅲ
mission-20000043,
mission-30000043,无妖精需求
mission-40000043,
mission-10000044,记忆回溯Ⅳ
mission-20000044,
mission-30000044,无妖精需求
mission-40000044,
mission-10000045,参加演习
mission-20000045,
mission-30000045,无妖精需求
mission-40000045,
mission-10000046,抵挡突袭
mission-20000046,
mission-30000046,无妖精需求
mission-40000046,
mission-10000047,反戈一击
mission-20000047,
mission-30000047,无妖精需求
mission-40000047,
mission-10000048,保证撤离
mission-20000048,
mission-30000048,无妖精需求
mission-40000048,
mission-10000049,内部现象
mission-20000049,
mission-30000049,无妖精需求
mission-40000049,
mission-10000050,追击密令
mission-20000050,
mission-30000050,无妖精需求
mission-40000050,
mission-10000051,谜题破解Ⅰ
mission-20000051,
mission-30000051,无妖精需求
mission-40000051,
mission-10000052,谜题破解Ⅱ
mission-20000052,
mission-30000052,无妖精需求
mission-40000052,
mission-10000053,谜题破解Ⅲ
mission-20000053,
mission-30000053,无妖精需求
mission-40000053,
mission-10000054,谜题破解Ⅳ
mission-20000054,
mission-30000054,无妖精需求
mission-40000054,
mission-10000055,内格夫小队
mission-20000055,
mission-30000055,无妖精需求
mission-40000055,
mission-10000056,双重救援
mission-20000056,
mission-30000056,无妖精需求
mission-40000056,
mission-10000057,重逢
mission-20000057,
mission-30000057,无妖精需求
mission-40000057,
mission-10000058,监禁者
mission-20000058,
mission-30000058,无妖精需求
mission-40000058,
mission-10000059,意志
mission-20000059,
mission-30000059,无妖精需求
mission-40000059,
mission-10000060,迟来的告别
mission-20000060,
mission-30000060,无妖精需求
mission-40000060,如果战役中途感觉战损过大难以继续攻略，请注意合理利用IOP特别服务赠送的资源，强化梯队的战斗力以后再来进行挑战。
