mission_buff_config-10000001,减耗BUFF
mission_buff_config-20000001,一定回合数消耗为零
mission_buff_config-10000002,战斗buff
mission_buff_config-20000002,增加攻击攻速
mission_buff_config-10000003,暴击buff
mission_buff_config-20000003,增加暴击爆伤
mission_buff_config-10000005,防御buff
mission_buff_config-20000005,减少梯队收到伤害
mission_buff_config-10000006,堡垒buff
mission_buff_config-20000006,增加梯队属性
mission_buff_config-10000008,增援buff
mission_buff_config-20000008,增援后增加一场战斗提升回避
mission_buff_config-10000013,经验buff
mission_buff_config-20000013,增加经验获得
mission_buff_config-10000014,掉落buff
mission_buff_config-20000014,增加掉落概率
mission_buff_config-10000015,夜战buff
mission_buff_config-20000015,增加视野
mission_buff_config-10010086,空降debuff
mission_buff_config-20010086,降低各项属性
mission_buff_config-10001301,经验buff
mission_buff_config-20001301,等级1
mission_buff_config-10001302,经验buff
mission_buff_config-20001302,等级2
mission_buff_config-10001303,经验buff
mission_buff_config-20001303,等级3
mission_buff_config-10001304,经验buff
mission_buff_config-20001304,等级4
mission_buff_config-10001305,经验buff
mission_buff_config-20001305,等级5
mission_buff_config-10001306,经验buff
mission_buff_config-20001306,等级6
mission_buff_config-10001307,经验buff
mission_buff_config-20001307,等级7
mission_buff_config-10001308,经验buff
mission_buff_config-20001308,等级8
mission_buff_config-10001309,经验buff
mission_buff_config-20001309,等级9
mission_buff_config-10001310,经验buff
mission_buff_config-20001310,等级10
mission_buff_config-10001501,视野buff
mission_buff_config-20001501,等级1
mission_buff_config-10001502,视野buff
mission_buff_config-20001502,等级2
mission_buff_config-10001503,视野buff
mission_buff_config-20001503,等级3
mission_buff_config-10001504,视野buff
mission_buff_config-20001504,等级4
mission_buff_config-10001505,视野buff
mission_buff_config-20001505,等级5
mission_buff_config-10001506,视野buff
mission_buff_config-20001506,等级6
mission_buff_config-10001507,视野buff
mission_buff_config-20001507,等级7
mission_buff_config-10001508,视野buff
mission_buff_config-20001508,等级8
mission_buff_config-10001509,视野buff
mission_buff_config-20001509,等级9
mission_buff_config-10001510,视野buff
mission_buff_config-20001510,等级10
mission_buff_config-10001004,花瓣buff
mission_buff_config-20001004,增加梯队属性
mission_buff_config-11000000,携带炸药
mission_buff_config-21000000,携带炸药
mission_buff_config-11000001,电磁瘫痪
mission_buff_config-21000001,降低各项属性
mission_buff_config-11000002,掩体作战
mission_buff_config-21000002,减少梯队收到伤害
mission_buff_config-11000003,【标记】1回合定身
mission_buff_config-21000003,
mission_buff_config-11000004,【标记】99回合定身
mission_buff_config-21000004,
mission_buff_config-11000005,【标记】99回合
mission_buff_config-21000005,
mission_buff_config-10001700,连击标记
mission_buff_config-20001700,连击标记
mission_buff_config-10001701,二连击
mission_buff_config-20001701,二连击
mission_buff_config-10001702,多连击
mission_buff_config-20001702,多连击
mission_buff_config-11000006,携带EMP手雷
mission_buff_config-21000006,携带EMP手雷
mission_buff_config-11000007,可以被EMP球攻击
mission_buff_config-21000007,可以被EMP球攻击
mission_buff_config-11000008,【标记】炮击目标标记buff
mission_buff_config-21000008,
mission_buff_config-11000009,【标记】浸水debuff_1
mission_buff_config-21000009,-30%闪避/火力
mission_buff_config-11000010,【标记】浸水debuff_2
mission_buff_config-21000010,-10%闪避/火力
mission_buff_config-11000011,【标记】搬运标记
mission_buff_config-21000011,
mission_buff_config-19100001,【标记】标记buff
mission_buff_config-29100001,
mission_buff_config-19100002,【标记】标记buff
mission_buff_config-29100002,
mission_buff_config-19100003,【标记】标记buff
mission_buff_config-29100003,
mission_buff_config-19100004,【标记】标记buff
mission_buff_config-29100004,
mission_buff_config-19100005,【标记】标记buff
mission_buff_config-29100005,
mission_buff_config-19100006,【标记】标记buff
mission_buff_config-29100006,
mission_buff_config-19100007,【标记】标记buff
mission_buff_config-29100007,
mission_buff_config-19100008,【标记】标记buff
mission_buff_config-29100008,
mission_buff_config-19100009,【标记】标记buff
mission_buff_config-29100009,
mission_buff_config-19100010,【标记】标记buff
mission_buff_config-29100010,
mission_buff_config-19100011,【标记】标记buff
mission_buff_config-29100011,
mission_buff_config-19100012,【标记】标记buff
mission_buff_config-29100012,
mission_buff_config-19100013,【标记】标记buff
mission_buff_config-29100013,
mission_buff_config-19100014,【标记】标记buff
mission_buff_config-29100014,
mission_buff_config-19100015,【标记】标记buff
