sangvis_charavoice-10000001,获得1
sangvis_charavoice-10000002,获得2
sangvis_charavoice-10000003,问候
sangvis_charavoice-10000004,部队编入1
sangvis_charavoice-10000005,部队编入2
sangvis_charavoice-10000006,部队编入3
sangvis_charavoice-10000007,强化完成1
sangvis_charavoice-10000008,强化完成2
sangvis_charavoice-10000009,开发完成1
sangvis_charavoice-10000010,开发完成2
sangvis_charavoice-10000011,解析提升1
sangvis_charavoice-10000012,解析提升2
sangvis_charavoice-10000013,交流1
sangvis_charavoice-10000014,交流2
sangvis_charavoice-10000015,交流3
sangvis_charavoice-10000016,出击
sangvis_charavoice-10000017,遇敌
sangvis_charavoice-10000018,进攻阵型
sangvis_charavoice-10000019,防御阵型
sangvis_charavoice-10000020,胜利
sangvis_charavoice-10000021,撤退
sangvis_charavoice-10000022,战败1
sangvis_charavoice-10000023,战败2
sangvis_charavoice-10000024,技能1
sangvis_charavoice-10000025,技能2
sangvis_charavoice-10000026,技能3
sangvis_charavoice-10000027,修复
sangvis_charavoice-10000028,自律作战
sangvis_charavoice-10000029,誓约
sangvis_charavoice-10000030,交流4
sangvis_charavoice-10000031,游戏标题
sangvis_charavoice-10000032,口癖
sangvis_charavoice-10000033,笑
sangvis_charavoice-10000034,惊
sangvis_charavoice-10000035,失意
sangvis_charavoice-10000036,赞赏
sangvis_charavoice-10000037,附和
sangvis_charavoice-10000038,同意
sangvis_charavoice-10000039,共鸣
sangvis_charavoice-10000040,提示
sangvis_charavoice-10000041,载入
