skin_bonus-10000201,僵尸家里蹲
skin_bonus-20000201,来自万圣节G11小姐的某一瞬间，据M99小姐描述“不知道发生了什么，当自己回过神时就看到G11已经这个样子了”，至于M99本人回过神之前发生了什么，也许是这个万圣节最大的谜团。
skin_bonus-30000201,外观·头像
skin_bonus-10000202,猫咪独唱团
skin_bonus-20000202,来自万圣节Vector小姐的某一瞬间，“除了指挥官没人看到过这张照片，当然也有可能看到的人都消失了，所以我就是第一……”相片旁的笔记写到这里突然中断，最后一道被拉长的字迹预示着今夜最可怕的惨剧。
skin_bonus-30000202,宿舍·海报
skin_bonus-10000203,幽步喵
skin_bonus-20000203,不知道是从何而来的猫咪，也许是被某人打扮的看不出来了而已，很喜欢跳到别人身上，似乎在嗅探什么……也许不去深究比较好。
skin_bonus-30000203,宿舍·宠物
skin_bonus-10000204,万圣节惊魂
skin_bonus-20000204,一张摄于万圣节夜间聚会时的宝贵照片，热闹的夜晚结束后，只有真的在睡觉的G11被留在原地了。
skin_bonus-30000204,宿舍·海报
skin_bonus-10000301,恶魔猎人
skin_bonus-20000301,来自汤姆森战斗的瞬间，就算是像她这样的猎手也有失手的时候，但正因为承受过更多的伤痕，所以她才如此可靠与潇洒。
skin_bonus-30000301,外观·头像
skin_bonus-10000302,黑色高级摩托车
skin_bonus-20000302,AEK999心爱的载具，但由于出行前的她会更换装束，所以只有亲密的骑行同伴才知道这辆车的存在。
skin_bonus-30000302,家具·地面装饰
skin_bonus-10000303,剧院演出
skin_bonus-20000303,一张摄于演出开场前的剧院照片，事件都在控制之中，除了指挥官到达现场时的状态。
skin_bonus-30000303,建设·基地背景
skin_bonus-10000101,圣诞雪妖精
skin_bonus-20000101,来自圣诞节索米小姐的一刻，但没人能明确说出发生了什么——“肯定是裙子被掀了，”AK47说，“虽然当着大家的面不知道有什么可害羞的，也就多个指挥官罢了。”“这就是演技的所在了”，马卡洛夫冷笑着评论道。
skin_bonus-30000101,外观·头像
skin_bonus-10000102,格瓦斯罐车
skin_bonus-20000102,正宗的格瓦斯，尽情畅饮才能对得起它的美味。
skin_bonus-30000102,家具·地面装饰
skin_bonus-10000103,平安夜之宴
skin_bonus-20000103,一张摄于平安夜晚宴前的宝贵照片，因为宴会开始后无论人形还是食物，她们的形象都会惨不忍睹。
skin_bonus-30000103,家具·海报
skin_bonus-10000104,平安夜小屋
skin_bonus-20000104,虽说圣诞与礼物密不可分……不过还是需要腾出来落脚的地方的。
skin_bonus-30000104,建设·基地背景
skin_bonus-10000401,红包女神的微笑
skin_bonus-20000401,拿到红包的人形们非常高兴，而DSR50小姐也收获了一个新的称号。
skin_bonus-30000401,外观·头像
skin_bonus-10000402,春节酒吧
skin_bonus-20000402,M590精心布置的除夕宴会厅，充满了东方色彩的酒吧。
skin_bonus-30000402,建设·基地背景
skin_bonus-10000403,女中魁
skin_bonus-20000403,落尽残红始吐芳//c佳名唤作百花王。竟夸天下无双艳//c独占人间第一香。
skin_bonus-30000403,外观·名片背景
skin_bonus-10000501,忧郁新娘
skin_bonus-20000501,一张表情与服装似乎并不配套的侧影。而正是这种错位感令它拥有被保留的价值。
skin_bonus-30000501,外观·头像
skin_bonus-10000502,自宅警备队标志
skin_bonus-20000502,又一个揭示了生活本来面目的标志。而“真相”，是否一定是真实的？
skin_bonus-30000502,家具·海报
skin_bonus-10000503,婚礼用窗纱
skin_bonus-20000503,每当看到窗帘上的花饰便能想起那甜蜜的一瞬——即使其中充斥着不属于自己的幸福。
skin_bonus-30000503,家具·地面装饰
skin_bonus-10000504,大教堂
skin_bonus-20000504,风格庄重的建筑，进入其中就不由自主地变得严肃起来。在这里许下的诺言，也许会是真心的。
skin_bonus-30000504,建设·基地背景
skin_bonus-10000601,头像：周年特供格琳娜
skin_bonus-20000601,和指挥官共同度过的一年真的很开心！下一年也请多多消费哦~
skin_bonus-30000601,外观·头像
skin_bonus-10000602,家具：钢之巨人
skin_bonus-20000602,看起来宛如世界名画的墙壁挂饰……每次看到它都会觉得心情沉重。
skin_bonus-30000602,家具·挂饰
skin_bonus-10000603,名片：我们的一年
skin_bonus-20000603,谨记，这张被处理过的照片不能被原本应该出现在左侧的一些重要人物看见。
skin_bonus-30000603,外观·名片背景
skin_bonus-10000701,钻石密使
skin_bonus-20000701,合格的特工在潜入前会详细设定好自己的身份，代表自己的精致卡片也是专业的象征。
skin_bonus-30000701,家具·挂饰
skin_bonus-10000702,时光王座
skin_bonus-20000702,世上没有永恒的王座。权力宛如细沙，会一点点地从指缝中流走。
skin_bonus-30000702,家具·地面装饰
skin_bonus-10000703,头像：最佳交易
skin_bonus-20000703,在各自的心愿达成之后，无论是买家还是卖家，都会露出愉快的笑容。
skin_bonus-30000703,外观·头像
skin_bonus-10000801,头像：贵族试作品
skin_bonus-20000801,……嗯，总算是做出来一杯马马虎虎的茶。指挥官，您觉得口感如何呢？
skin_bonus-30000801,外观·头像
skin_bonus-10000802,名片：女仆实习会
skin_bonus-20000802,虽说多半不会像真正的女仆咖啡厅那样得到完美的服务……//n不过在这里能看到她们的另一面，也算是值回票价了。
skin_bonus-30000802,外观·名片背景
skin_bonus-10000803,背景：温馨咖啡厅
skin_bonus-20000803,无论是人类还是人形，累了的话，就来这里休息休息吧。
