skin_group-10000002,怪奇故事会
skin_group-20000002,万圣节就要来临了，在神秘古怪的变装舞会下，恐惧的暗流正在悄然涌动，这次的指挥官能否辨别出搞事者，及时化解游行活动的危机呢？
skin_group-10000003,致命演出
skin_group-20000003,由于竞争者的关系，指挥官受邀参加了一场盛大的歌剧演出。华丽的舞台背后隐藏着危险的杀机，但对于指挥官，真正致命的凶器又是什么？是那些突如其来的袭击，亦或是早有准备的变装人形们？
skin_group-10000001,狩猎圣诞老人行动
skin_group-20000001,格里芬即将迎来第一个圣诞夜，正在大家在晚宴和余兴节目之间忙碌时，一个疯狂的计划正在几个危险人形中酝酿……
skin_group-10000004,年关记忆
skin_group-20000004,东方的人形们不在基地的时候，留守在格里芬的人形们要如何原汁原味地重现春节这个隆重的节日呢？经历了意料之外的骚乱后，新的一年一定会好起来的……大概。
skin_group-10000005,甜蜜时刻
skin_group-20000005,接下了拍摄广告任务的人形们，展现出了平时难得一见的面貌。穿上婚纱的瞬间，会成为她们特别的回忆吗？
skin_group-10000006,周年派对
skin_group-20000006,比起氛围严肃格里芬的周年宴会，还是基地内部的派对更能让人放松。在这个用来纪念相聚的夜晚，就算吵闹一些，指挥官也不会介意吧？
skin_group-10000007,偷不走的宝石
skin_group-20000007,在周年庆的时候，指挥官和人形们接到了一个特殊的任务。大家要守护的宝石没有那么容易被偷走，回忆也是一样。
skin_group-10000008,女仆训练营
skin_group-20000008,为了承担一项重要的任务，人形们进行了额外的特殊训练。虽然在成为优秀女仆的途中有点小小的波折，不过她们应该是没有问题的……吧？
skin_group-10000009,海滩奇兵
skin_group-20000009,格里芬的人形们意外赢来了短暂又和平的夏日假期，但是这片海滩似乎藏有什么秘密……人形们真的能度过“和平”的假期吗？
skin_group-10000010,魔女之森
skin_group-20000010,万圣节之夜，无人知晓的仓库角落里，几名格里芬人形的鬼故事游戏意外开启了可怕的异世界大门？这究竟是幽灵的把戏？还是人形的扭曲？
skin_group-10000011,平安夜特快
skin_group-20000011,圣诞前夕，由于G36遭遇意外，FN57临危受命接下了活动人员调配工作，她临时找来的古怪同伴能够老实胜任吗？还是在行动的途中各怀心事呢？
skin_group-10000012,拜年行动
skin_group-20000012,针对即将来临的春节，基地里正在尝试执行一项前所未有的行动——拜年！保持千年的传统习俗，这次也会在格里芬中顺利传承吗？或者……这场火红热闹的大漩涡又将卷入哪些人形呢？
skin_group-10000013,枪与玫瑰
skin_group-20000013,在这次委托中，人形们难得地穿上了婚纱。与习以为常的战火与硝烟暂别的这段日子里，她们各自又怀有什么样的心情呢？
skin_group-10000014,甜蜜惊笑夜
skin_group-20000014,基地周年之际，格里芬人形们受邀参加充满甜品的甜蜜酒会，本以为是个可以安心放松的夜晚，结果因为两个意外来客的缘故，变得又好笑又刺激。
skin_group-10000015,美人鱼行动
skin_group-20000015,写作“度假”读作“美人鱼搜查”的海滩之行意外地险象环生，为何海滩上充满战斗的痕迹？神秘的书稿又在其中扮演着怎样的角色呢？
skin_group-10000016,魔偶舞动之夜
skin_group-20000016,克服重重困难后，格里芬今年终于成功举行了试胆大会。然而在大家的欢声笑语之中，一个神秘的身影正潜藏在黑夜里伺机而动。“她”所希望的究竟是……？
skin_group-10000017,弗洛伦汀的礼物
skin_group-20000017,又到了一年圣诞节将要到来的日子，众人形又一次忙碌起来。今年，她们将要在格里芬栽下一棵最美丽的圣诞树，当做献给所有人的圣诞礼物，而这份回忆，也将会是大家永生难忘的宝物……
skin_group-10000018,妙奇家具展
skin_group-20000018,新春之际，原本只是采购服装的小队却突然接到了新的任务——为新发现的古董家具举办一场家具展。为了完成任务，格里芬人形只好走进热闹的人群中，努力应付各种突发事件……她们又将和人类擦出怎样的火花？
skin_group-10000019,倩影疑情
skin_group-20000019,在情人节的派对后，升级的监控系统在指挥官的窗前捕捉到一个神秘的身影。究竟是谁在深夜与指挥官相伴？围绕着这件事，人形们积极地做好了调查……以及对指挥官负责的准备。
