theater_area-10000411,普通关卡
theater_area-20000411,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000412,普通关卡
theater_area-20000412,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000413,普通关卡
theater_area-20000413,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000414,要塞关卡
theater_area-20000414,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000415,普通关卡
theater_area-20000415,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000416,普通关卡
theater_area-20000416,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000417,普通关卡
theater_area-20000417,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000418,要塞关卡
theater_area-20000418,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000421,普通关卡
theater_area-20000421,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000422,普通关卡
theater_area-20000422,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000423,普通关卡
theater_area-20000423,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000424,要塞关卡
theater_area-20000424,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000425,普通关卡
theater_area-20000425,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000426,普通关卡
theater_area-20000426,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000427,普通关卡
theater_area-20000427,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000428,要塞关卡
theater_area-20000428,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000431,普通关卡
theater_area-20000431,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000432,普通关卡
theater_area-20000432,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000433,要塞关卡
theater_area-20000433,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000434,普通关卡
theater_area-20000434,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000435,普通关卡
theater_area-20000435,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000436,要塞关卡
theater_area-20000436,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000437,普通关卡
theater_area-20000437,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000438,要塞关卡
theater_area-20000438,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000441,普通关卡
theater_area-20000441,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000442,普通关卡
theater_area-20000442,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000443,要塞关卡
theater_area-20000443,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000444,普通关卡
theater_area-20000444,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000445,普通关卡
theater_area-20000445,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000446,要塞关卡
theater_area-20000446,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000447,普通关卡
theater_area-20000447,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000448,要塞关卡
theater_area-20000448,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000511,普通关卡
theater_area-20000511,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000512,普通关卡
theater_area-20000512,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000513,普通关卡
theater_area-20000513,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000514,要塞关卡
theater_area-20000514,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000515,普通关卡
theater_area-20000515,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000516,普通关卡
theater_area-20000516,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000517,普通关卡
theater_area-20000517,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000518,要塞关卡
theater_area-20000518,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000521,普通关卡
theater_area-20000521,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000522,普通关卡
theater_area-20000522,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000523,普通关卡
theater_area-20000523,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000524,要塞关卡
theater_area-20000524,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000525,普通关卡
theater_area-20000525,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000526,普通关卡
theater_area-20000526,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000527,普通关卡
theater_area-20000527,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000528,要塞关卡
theater_area-20000528,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000531,普通关卡
theater_area-20000531,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000532,普通关卡
theater_area-20000532,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000533,要塞关卡
theater_area-20000533,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000534,普通关卡
theater_area-20000534,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000535,普通关卡
theater_area-20000535,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000536,要塞关卡
theater_area-20000536,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000537,普通关卡
theater_area-20000537,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000538,要塞关卡
theater_area-20000538,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000541,普通关卡
theater_area-20000541,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000542,普通关卡
theater_area-20000542,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000543,要塞关卡
theater_area-20000543,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000544,普通关卡
theater_area-20000544,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000545,普通关卡
theater_area-20000545,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000546,要塞关卡
theater_area-20000546,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000547,普通关卡
theater_area-20000547,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000548,要塞关卡
theater_area-20000548,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000611,普通关卡
theater_area-20000611,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000612,普通关卡
theater_area-20000612,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000613,普通关卡
theater_area-20000613,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000614,要塞关卡
theater_area-20000614,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000615,普通关卡
theater_area-20000615,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000616,普通关卡
theater_area-20000616,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000617,普通关卡
theater_area-20000617,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000618,要塞关卡
theater_area-20000618,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000621,普通关卡
theater_area-20000621,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000622,普通关卡
theater_area-20000622,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000623,普通关卡
theater_area-20000623,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000624,要塞关卡
theater_area-20000624,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000625,普通关卡
theater_area-20000625,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000626,普通关卡
theater_area-20000626,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000627,普通关卡
theater_area-20000627,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000628,要塞关卡
theater_area-20000628,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000631,普通关卡
theater_area-20000631,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
